名称,地区,经度,维度,总价/万,单价/元,规格,大小/平方米,朝向,装修,楼层,楼层样式,关注人数
世贸一品,泉州桥南,118.57789374616,24.8208141526603,199,15047,4室1厅,132,东南,精装,低楼层(共25层),板楼,350
建发中泱天成,洛江区,116.459315674798,39.9230077923451,208,19440,3室2厅,107,南,毛坯,中楼层(共26层),暂无数据,90
裕福康城,宝龙广场,118.677823856143,24.9554296200202,200,15994,3室2厅,125,东南,精装,中楼层(共27层),板塔结合,70
盛达阳光城,泉港区,120.561627120105,31.354959612105,12.8,3467,1室1厅,36,南,简装,高楼层(共6层),板塔结合,210
金沙城小区咸德苑,安海镇,118.602417127252,24.8757673719542,142,15498,3室2厅,91,东南,简装,低楼层(共31层),平房,70
龙湖嘉天下紫晋城,池店南,121.356488887895,31.3215271167977,250,18685,4室2厅,133,东南,毛坯,中楼层(共34层),板楼,250
海丝景城,泉州桥南,116.459315674798,39.9230077923451,250,15706,5室2厅,159,东南北,精装,低楼层(共30层),板塔结合,130
舒华奥体中心,泉州桥南,116.332331746891,40.0518872452203,120,16466,2室2厅,72,南,毛坯,低楼层(共33层),板塔结合,190
两岸中心上溪园,惠安县,116.698173672612,39.9387010629592,56,5751,3室2厅,97,东南,毛坯,低楼层(共29层),板楼,30
聚豪特区,泉秀街,118.598603910194,24.8764870842294,239,19501,3室2厅,122,南,精装,低楼层(共18层),板楼,290
闻馨一品,城东,118.677823856143,24.9554296200202,390,27178,4室2厅,143,南北,精装,高楼层(共30层),板塔结合,50
阳光国际广场,洛江区,114.089504877205,22.5486862804858,134,17213,2室2厅,77,南,精装,高楼层(共31层),板楼,70
力标吉源雅苑,洛江区,113.756220328022,23.0533100101364,110,16848,2室1厅,65,东南,简装,中楼层(共33层),板楼,50
万祥商厦,洛江区,114.089504877205,22.5486862804858,105.8,10908,3室1厅,97,东南,简装,中楼层(共7层),板塔结合,30
铭基新天地,洛江区,113.861942622101,27.6247300406351,147,16026,3室2厅,91,东南,毛坯,中楼层(共27层),板塔结合,110
力标东华经典,洛江区,121.307507971489,31.3014068791558,212,18885,3室2厅,112,南,精装,低楼层(共26层),板楼,50
冠亚东方星城,洛江区,113.94688693008,23.0913266791495,260,12500,5室2厅,208,东南,简装,高楼层(共12层),板楼,250
灯洲商业城,万达,120.210731650611,30.2185372313443,75,15064,2室1厅,49,南,简装,高楼层(共6层),塔楼,50
中航城天骏,宝龙广场,109.124521367547,21.481065838236,204,18757,3室2厅,108,南,毛坯,中楼层(共31层),板楼,70
长洲花园,万达,104.094842894691,30.7602284671211,209,19772,3室2厅,105,东南,简装,中楼层(共9层),板楼,110
丽港尊品,泉港区,118.677823856143,24.9554296200202,50.4,3969,3室2厅,127,南,毛坯,中楼层(共15层),暂无数据,110
武夷花园,东湖,118.612697874488,24.883290868415,239,19501,3室1厅,122,西南,精装,中楼层(共10层),板楼,70
经济局生活小区,石狮中心,118.677823856143,24.9554296200202,82,4986,4室2厅,164,东,精装,低楼层(共7层),暂无数据,30
翠山苑,晋江万达,114.614823444041,37.9428455771156,208,15528,3室2厅,133,南,精装,中楼层(共11层),板楼,50
中骏御金台,城东,116.459315674798,39.9230077923451,123,17678,3室1厅,69,东南,简装,中楼层(共20层),板塔结合,130
中骏御金台,城东,123.216812405808,41.2010747629446,106.8,15264,4室2厅,69,南北,精装,低楼层(共20层),板塔结合,310
中骏御金台,城东,113.648057966687,22.8560520193224,125,17812,3室2厅,70,南,精装,中楼层(共20层),板塔结合,30
庄园华都国际,泉港区,118.80784055324,25.0265463039769,90,5961,3室2厅,151,南,毛坯,中楼层(共30层),暂无数据,30
海上海领海苑,东海,113.756220328022,23.0533100101364,325,26009,3室2厅,124,南,毛坯,中楼层(共40层),板塔结合,50
卓辉汇景城,晋江万达,116.354213301317,35.401266974154,142,15778,3室2厅,90,南,简装,高楼层(共27层),板楼,50
新加坡城东区,泉州桥南,121.497360798648,31.6823472261387,245,20948,4室1厅,116,东南,精装,中楼层(共27层),板楼,50
龙湖嘉天下紫晋城,池店南,113.741851856225,34.7781903443593,256,19492,4室2厅,131,南,毛坯,高楼层(共34层),板楼,90
群星广场,丰泽街,105.175662165642,31.0103486306263,238,23051,3室2厅,103,东南,简装,低楼层(共12层),板楼,90
佳豪城市花园2期,石狮中心,122.149702085414,40.2564577030626,144.3,7800,4室2厅,185,东南,毛坯,低楼层(共21层),板楼,30
中骏柏景湾,城东,121.30091503786,31.0933328372294,320,35939,3室2厅,89,南,精装,中楼层(共30层),板塔结合,30
金帝花园,泉秀街,118.583115416427,24.8915005022612,245,17469,3室2厅,140,南,精装,低楼层(共6层),板楼,30
绿创山语城,城东,121.494005807229,31.4146944756404,197,16983,3室2厅,116,东南,毛坯,中楼层(共34层),板塔结合,50
昌茂香槟公馆,泉港区,118.677823856143,24.9554296200202,63,5119,3室2厅,123,南北,毛坯,中楼层(共17层),暂无数据,90
蓝郡国际,台商投资区,118.561119417886,24.9110060021895,73,8909,2室2厅,81,南,毛坯,低楼层(共29层),塔楼,110
中骏愉景湾,江北大道,119.299080627989,26.1038128362626,178,14172,4室2厅,125,南,精装,中楼层(共28层),板楼,110
保利城二期央玺,城东,118.595448,24.910135,52,16764,2室1厅,31,东北,精装,低楼层(共18层),板塔结合,350
东大商业城,涂门街,123.216812405808,41.2010747629446,140,15494,3室2厅,90,南,精装,中楼层(共6层),塔楼,170
尚德小区,宝龙广场,104.554903683657,30.4134304670183,186.5,14300,3室2厅,130,南,精装,中楼层(共21层),板楼,50
恒隆国际花园,安海镇,121.384846955557,31.178404296703,156,13876,3室2厅,112,南北,精装,高楼层(共30层),板塔结合,30
